t,mu,totalDamage
13.86,0.0075,0.003882492162109374
13.88,-0.11125,0.0038835899501953115
13.9,-0.25875,0.0038931760673828115
13.92,-0.2775,0.003895491501953124
13.94,-0.2275,0.003895554001953124
13.96,-0.15125,0.0038964976552734367
13.98,-0.15,0.0038965278378906244
14,-0.26375,0.0038972637470703116
14.02,-0.3625,0.003912271763671874
14.04,-0.405,0.003922609257812499
14.06,-0.40125,0.003922609284179686
14.08,-0.40125,0.003922609284179686
14.1,-0.41625,0.003925720612304687
14.12,-0.3225,0.003926132599609374
14.14,-0.12875,0.0039376024482421865
14.16,0.05,0.003977540697265624
14.18,0.1225,0.004007992283203124
14.2,0.0425,0.004008248283203124
14.22,-0.02,0.004009439103515623
14.24,-0.00125,0.004009442399414061
14.26,0.10125,0.004010330385742186
14.28,0.17,0.004035596462890623
14.3,0.085,0.004035903525390624
14.32,-0.04,0.004040226962890623
14.34,-0.1275,0.004048761767578123
14.36,-0.13,0.004049096462890624
